Country_code_9_digit,Country_code,Country_name,PCON_CODE,PCON_NAME,Cden_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15
E92000001,921,England,E14000530,Aldershot,712,392,304,658,639,316,294,149
E92000001,921,England,E14000531,Aldridge-Brownhills,1201,772,650,1149,1112,668,376,222
E92000001,921,England,E14000532,Altrincham and Sale West,1506,1281,1180,1475,1463,1186,884,702
E92000001,921,England,E14000533,Amber Valley,961,511,454,886,851,484,237,120
E92000001,921,England,E14000534,Arundel and South Downs,1126,781,696,1083,1049,718,552,352
E92000001,921,England,E14000535,Ashfield,1080,647,558,1017,998,594,340,189
E92000001,921,England,E14000536,Ashford,1280,750,675,1223,1178,714,518,339
E92000001,921,England,E14000537,Ashton-under-Lyne,1123,698,600,998,958,618,383,253
E92000001,921,England,E14000538,Aylesbury,1337,919,857,1249,1222,892,574,470
E92000001,921,England,E14000539,Banbury,1156,723,647,1085,1035,683,255,179
E92000001,921,England,E14000540,Barking,1048,720,587,1018,985,600,372,225
E92000001,921,England,E14000541,Barnsley Central,519,269,222,443,430,239,86,50
E92000001,921,England,E14000542,Barnsley East,919,478,405,844,808,431,199,98
E92000001,921,England,E14000543,Barrow and Furness,980,654,543,917,904,555,218,132
E92000001,921,England,E14000544,Basildon and Billericay,856,581,486,812,796,497,408,279
E92000001,921,England,E14000545,Basingstoke,1341,753,659,1236,1191,710,475,259
E92000001,921,England,E14000546,Bassetlaw,911,631,588,879,860,614,273,176
E92000001,921,England,E14000547,Bath,928,623,555,860,834,584,495,323
E92000001,921,England,E14000548,Batley and Spen,1052,765,651,1027,1011,665,333,243
E92000001,921,England,E14000549,Battersea,135,117,90,x,126,92,36,28
E92000001,921,England,E14000550,Beaconsfield,1040,757,705,971,963,728,470,387
E92000001,921,England,E14000551,Beckenham,1205,946,854,1142,1135,869,605,410
E92000001,921,England,E14000552,Bedford,953,564,437,902,895,455,261,116
E92000001,921,England,E14000553,Bermondsey and Old Southwark,1236,857,739,1176,1148,764,627,358
E92000001,921,England,E14000554,Berwick-upon-Tweed,570,345,288,550,544,304,180,111
E92000001,921,England,E14000555,Bethnal Green and Bow,1495,1147,1012,1449,1414,1041,772,478
E92000001,921,England,E14000556,Beverley and Holderness,1191,769,616,1151,1117,632,343,208
E92000001,921,England,E14000557,Bexhill and Battle,1052,729,646,1012,991,663,623,343
E92000001,921,England,E14000558,Bexleyheath and Crayford,1477,1058,678,1428,1156,693,404,309
E92000001,921,England,E14000559,Birkenhead,680,484,404,612,596,409,288,193
E92000001,921,England,E14000560,"Birmingham, Edgbaston",1190,761,653,1115,1068,669,499,370
E92000001,921,England,E14000561,"Birmingham, Erdington",760,366,288,690,640,316,203,62
E92000001,921,England,E14000562,"Birmingham, Hall Green",854,618,528,817,800,543,289,215
E92000001,921,England,E14000563,"Birmingham, Hodge Hill",1335,739,601,1213,1161,629,474,256
E92000001,921,England,E14000564,"Birmingham, Ladywood",1946,1336,1094,1887,1840,1127,678,357
E92000001,921,England,E14000565,"Birmingham, Northfield",919,565,482,864,826,506,280,146
E92000001,921,England,E14000566,"Birmingham, Perry Barr",1223,760,608,1131,1107,633,442,288
E92000001,921,England,E14000567,"Birmingham, Selly Oak",1551,1044,901,1423,1369,925,545,373
E92000001,921,England,E14000568,"Birmingham, Yardley",1205,729,597,1180,1137,616,461,251
E92000001,921,England,E14000569,Bishop Auckland,945,601,468,874,837,489,350,218
E92000001,921,England,E14000570,Blackburn,1426,982,853,1363,1338,883,508,336
E92000001,921,England,E14000571,Blackley and Broughton,1314,741,597,1151,1084,612,352,240
E92000001,921,England,E14000572,Blackpool North and Cleveleys,816,443,391,761,724,416,242,100
E92000001,921,England,E14000573,Blackpool South,606,270,205,543,506,218,83,50
E92000001,921,England,E14000574,Blaydon,1098,763,650,1044,1017,668,424,268
E92000001,921,England,E14000575,Blyth Valley,830,490,443,767,746,476,255,142
E92000001,921,England,E14000576,Bognor Regis and Littlehampton,752,432,352,701,680,364,214,102
E92000001,921,England,E14000577,Bolsover,813,472,371,764,731,399,205,119
E92000001,921,England,E14000578,Bolton North East,1030,714,615,975,953,624,419,252
E92000001,921,England,E14000579,Bolton South East,1214,802,687,1148,1119,718,414,258
E92000001,921,England,E14000580,Bolton West,806,521,450,732,706,464,307,169
E92000001,921,England,E14000581,Bootle,822,479,356,752,714,368,324,137
E92000001,921,England,E14000582,Boston and Skegness,995,509,431,919,900,465,333,134
E92000001,921,England,E14000583,Bosworth,1261,777,690,1183,1169,725,255,167
E92000001,921,England,E14000584,Bournemouth East,1050,770,700,990,972,716,557,373
E92000001,921,England,E14000585,Bournemouth West,715,383,319,636,620,346,82,29
E92000001,921,England,E14000586,Bracknell,1101,776,651,1078,1058,684,359,242
E92000001,921,England,E14000587,Bradford East,1409,779,625,1321,1243,656,342,201
E92000001,921,England,E14000588,Bradford South,1194,542,466,1028,981,492,236,103
E92000001,921,England,E14000589,Bradford West,1360,703,576,1247,1159,611,458,227
E92000001,921,England,E14000590,Braintree,967,616,515,931,892,533,392,213
E92000001,921,England,E14000591,Brent Central,702,409,330,623,592,342,252,151
E92000001,921,England,E14000592,Brent North,2104,1580,1360,2014,1987,1380,1217,839
E92000001,921,England,E14000593,Brentford and Isleworth,1433,1118,994,1400,1367,1017,769,530
E92000001,921,England,E14000594,Brentwood and Ongar,1145,846,738,1080,1063,766,544,323
E92000001,921,England,E14000595,Bridgwater and West Somerset,1011,616,549,968,946,572,250,137
E92000001,921,England,E14000596,Brigg and Goole,992,660,596,929,921,636,349,230
E92000001,921,England,E14000597,"Brighton, Kemptown",510,251,210,458,437,232,59,44
E92000001,921,England,E14000598,"Brighton, Pavilion",820,552,506,769,751,525,324,248
E92000001,921,England,E14000599,Bristol East,558,313,269,512,486,283,124,78
E92000001,921,England,E14000600,Bristol North West,732,443,351,656,627,359,235,152
E92000001,921,England,E14000601,Bristol South,871,462,372,784,763,400,187,96
E92000001,921,England,E14000602,Bristol West,952,757,691,925,908,708,418,321
E92000001,921,England,E14000603,Broadland,853,588,506,827,823,517,358,228
E92000001,921,England,E14000604,Bromley and Chislehurst,1040,724,654,987,958,691,399,249
E92000001,921,England,E14000605,Bromsgrove,1251,955,837,1174,1155,849,542,409
E92000001,921,England,E14000606,Broxbourne,1093,735,626,1061,1019,656,549,306
E92000001,921,England,E14000607,Broxtowe,838,524,461,782,768,486,332,222
E92000001,921,England,E14000608,Buckingham,880,660,595,835,820,617,308,255
E92000001,921,England,E14000609,Burnley,933,501,414,834,784,440,321,147
E92000001,921,England,E14000610,Burton,1241,794,686,1189,1170,719,446,235
E92000001,921,England,E14000611,Bury North,1210,840,702,1185,1156,721,562,341
E92000001,921,England,E14000612,Bury South,904,613,468,865,847,489,386,238
E92000001,921,England,E14000613,Bury St Edmunds,1503,1024,887,1403,1382,910,457,298
E92000001,921,England,E14000614,Calder Valley,1571,1108,934,1511,1487,960,361,257
E92000001,921,England,E14000615,Camberwell and Peckham,851,647,566,810,790,577,481,297
E92000001,921,England,E14000616,Camborne and Redruth,715,476,425,698,686,450,282,162
E92000001,921,England,E14000617,Cambridge,630,452,411,605,597,428,303,233
E92000001,921,England,E14000618,Cannock Chase,1003,570,467,928,894,481,307,141
E92000001,921,England,E14000619,Canterbury,1291,827,723,1174,1135,748,627,432
E92000001,921,England,E14000620,Carlisle,752,446,392,697,678,405,252,154
E92000001,921,England,E14000621,Carshalton and Wallington,1413,1139,1016,1351,1335,1028,803,662
E92000001,921,England,E14000622,Castle Point,1163,729,650,1084,1059,700,451,257
E92000001,921,England,E14000623,Central Devon,760,511,449,734,724,473,443,252
E92000001,921,England,E14000624,Central Suffolk and North Ipswich,1243,898,790,1203,1180,809,466,306
E92000001,921,England,E14000625,Charnwood,961,616,504,914,899,526,220,118
E92000001,921,England,E14000626,Chatham and Aylesford,1258,696,581,1137,1105,616,323,165
E92000001,921,England,E14000627,Cheadle,1357,1105,933,1321,1310,940,799,523
E92000001,921,England,E14000628,Chelmsford,1194,927,871,1135,1119,901,375,277
E92000001,921,England,E14000629,Chelsea and Fulham,843,661,579,822,806,584,473,332
E92000001,921,England,E14000630,Cheltenham,856,618,534,813,801,544,358,282
E92000001,921,England,E14000631,Chesham and Amersham,1439,1126,1002,1353,1339,1019,472,389
E92000001,921,England,E14000632,Chesterfield,1019,689,624,969,957,657,386,240
E92000001,921,England,E14000633,Chichester,1030,703,630,965,950,656,365,230
E92000001,921,England,E14000634,Chingford and Woodford Green,1072,830,737,1050,1026,755,523,361
E92000001,921,England,E14000635,Chippenham,1218,908,779,1151,1131,798,410,290
E92000001,921,England,E14000636,Chipping Barnet,1376,1107,1002,1347,1329,1016,880,641
E92000001,921,England,E14000637,Chorley,1170,854,709,1107,1077,722,424,286
E92000001,921,England,E14000638,Christchurch,807,554,494,786,770,532,296,160
E92000001,921,England,E14000639,Cities of London and Westminster,603,505,425,595,582,431,412,275
E92000001,921,England,E14000640,City of Chester,1012,692,562,972,946,581,384,265
E92000001,921,England,E14000641,City of Durham,936,601,533,874,848,559,548,316
E92000001,921,England,E14000642,Clacton,930,515,405,842,820,432,113,82
E92000001,921,England,E14000643,Cleethorpes,1250,861,759,1207,1192,788,582,361
E92000001,921,England,E14000644,Colchester,1389,971,875,1328,1301,902,506,373
E92000001,921,England,E14000645,Colne Valley,1347,937,831,1307,1274,864,354,239
E92000001,921,England,E14000646,Congleton,1330,1022,886,1294,1281,901,446,335
E92000001,921,England,E14000647,Copeland,817,523,442,777,766,455,351,185
E92000001,921,England,E14000648,Corby,1273,786,679,1196,1156,719,522,273
E92000001,921,England,E14000649,Coventry North East,1080,616,517,1030,983,541,310,144
E92000001,921,England,E14000650,Coventry North West,1100,665,509,1045,932,572,216,109
E92000001,921,England,E14000651,Coventry South,1204,806,708,1114,1089,736,577,332
E92000001,921,England,E14000652,Crawley,1257,801,648,1166,1136,681,396,271
E92000001,921,England,E14000653,Crewe and Nantwich,1090,673,596,1033,1014,627,375,200
E92000001,921,England,E14000654,Croydon Central,1227,779,642,1165,1119,684,517,305
