Country_code_9_digit,Country_code,Country_name,Region_code_9_digit,Region_code,Region_name,LAD_code_9_digit,LAD_code,LAD_name,IDACI_decile,Rurality,A1A4den_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15,,,,
E92000001,921,England,,,,,,,,,549362,365469,315196,518512,504254,327079,213518,134111,,,,
E92000001,921,England,,,,,,,0-10% most deprived,,66404,35655,28990,60227,57347,30530,20062,10499,,,,
E92000001,921,England,,,,,,,10-20%,,60779,33212,27300,55460,53118,28858,18301,9889,,,,
E92000001,921,England,,,,,,,20-30%,,56591,32763,27291,52423,50498,28696,17769,9931,,,,
E92000001,921,England,,,,,,,30-40%,,54060,33145,27993,50575,49024,29292,18465,10619,,,,
E92000001,921,England,,,,,,,40-50%,,53199,34701,29696,50296,48915,30956,19770,12004,,,, 
E92000001,921,England,,,,,,,50-60%,,51922,35993,31128,49556,48429,32247,20776,13058,,,,
E92000001,921,England,,,,,,,60-70%,,52403,38098,33427,50257,49318,34498,22619,14701,,,,
E92000001,921,England,,,,,,,70-80%,,52274,39566,35080,50518,49657,36086,23716,16090,,,,
E92000001,921,England,,,,,,,80-90%,,52301,41311,36860,50853,50121,37768,25498,17785,,,,
E92000001,921,England,,,,,,,90-100% least deprived,,49429,41025,37431,48347,47827,38148,26542,19535,,,,
E92000001,921,England,,,,,,,,Urban - Major conurbation,192613,129652,110439,181800,175877,114034,79168,49707,,,,
E92000001,921,England,,,,,,,,Urban - Minor conurbation,19570,11885,10246,18152,17648,10736,6402,3730,,,,
E92000001,921,England,,,,,,,,Urban - City and town,242635,156326,135203,228001,221939,141091,87406,54193,,,,
E92000001,921,England,,,,,,,,Rural areas - town and fringe,50540,34907,30355,48208,47162,31458,20517,12938,,,,
E92000001,921,England,,,,,,,,Rural areas - village,28348,20957,18556,27293,26828,19076,12765,8580,,,,
E92000001,921,England,,,,,,,,Rural areas - hamlet & isolated dwelling,15656,11742,10397,15058,14800,10684,7260,4963,,,,
E92000001,921,England,,,,,,,0-10% most deprived,Urban,66011,35464,28825,59875,57005,30354,19980,10459,,,,
E92000001,921,England,,,,,,,0-10% most deprived,Rural,393,191,165,352,342,176,82,40,,,,
E92000001,921,England,,,,,,,10-20%,Urban,59293,32481,26711,54122,51834,28223,17937,9714,,,,
E92000001,921,England,,,,,,,10-20%,Rural,1486,731,589,1338,1284,635,364,175,,,,
E92000001,921,England,,,,,,,20-30%,Urban,53164,30930,25765,49248,47430,27074,16844,9466,,,,
E92000001,921,England,,,,,,,20-30%,Rural,3427,1833,1526,3175,3068,1622,925,465,,,,
E92000001,921,England,,,,,,,30-40%,Urban,48278,29766,25164,45180,43800,26297,16552,9601,,,,
E92000001,921,England,,,,,,,30-40%,Rural,5782,3379,2829,5395,5224,2995,1913,1018,,,,
E92000001,921,England,,,,,,,40-50%,Urban,43972,28761,24621,41565,40422,25662,16302,9937,,,,
E92000001,921,England,,,,,,,40-50%,Rural,9227,5940,5075,8731,8493,5294,3468,2067,,,,
E92000001,921,England,,,,,,,50-60%,Urban,38050,26466,22804,36308,35461,23640,15202,9492,,,,
E92000001,921,England,,,,,,,50-60%,Rural,13872,9527,8324,13248,12968,8607,5574,3566,,,,
E92000001,921,England,,,,,,,60-70%,Urban,36382,26632,23368,34922,34252,24108,15589,10228,,,,
E92000001,921,England,,,,,,,60-70%,Rural,16021,11466,10059,15335,15066,10390,7030,4473,,,,
E92000001,921,England,,,,,,,70-80%,Urban,35438,26844,23878,34256,33644,24571,16054,11013,,,,
E92000001,921,England,,,,,,,70-80%,Rural,16836,12722,11202,16262,16013,11515,7662,5077,,,,
E92000001,921,England,,,,,,,80-90%,Urban,36173,28677,25630,35218,34731,26268,17732,12354,,,,
E92000001,921,England,,,,,,,80-90%,Rural,16128,12634,11230,15635,15390,11500,7766,5431,,,,
E92000001,921,England,,,,,,,90-100% least deprived,Urban,38057,31842,29122,37259,36885,29664,20784,15366,,,,
E92000001,921,England,,,,,,,90-100% least deprived,Rural,11372,9183,8309,11088,10942,8484,5758,4169,,,,
E92000001,921,England,E12000001,A,North East,,,,,,26977,17560,14990,25317,24630,15672,9446,5850,,,,
E92000001,921,England,E12000001,A,North East,,,,0-10% most deprived,,3902,1873,1542,3472,3291,1656,805,393,,,,
E92000001,921,England,E12000001,A,North East,,,,10-20%,,3767,2034,1672,3409,3279,1816,933,478,,,,
E92000001,921,England,E12000001,A,North East,,,,20-30%,,3538,2045,1709,3297,3187,1808,991,538,,,,
E92000001,921,England,E12000001,A,North East,,,,30-40%,,2607,1658,1390,2460,2398,1454,858,473,,,,
E92000001,921,England,E12000001,A,North East,,,,40-50%,,2661,1754,1474,2522,2454,1535,902,547,,,,
E92000001,921,England,E12000001,A,North East,,,,50-60%,,1854,1283,1108,1764,1733,1151,723,450,,,,
E92000001,921,England,E12000001,A,North East,,,,60-70%,,2075,1547,1331,1998,1973,1379,902,606,,,,
E92000001,921,England,E12000001,A,North East,,,,70-80%,,1678,1293,1130,1611,1587,1169,784,538,,,,
E92000001,921,England,E12000001,A,North East,,,,80-90%,,2100,1738,1537,2046,2016,1569,1090,753,,,,
E92000001,921,England,E12000001,A,North East,,,,90-100% least deprived,,2795,2335,2097,2738,2712,2135,1458,1074,,,,
